"extralinea1","extralinea2","parametro1","parametro2","parametro3","parametro4","parametro5","parametro6","parametro7","parametro8","parametro9","parametro10","parametro11","parametro12","parametro13","parametro14","Calificacion"
"yes","yes",41,146.8,128,24.96,285.6,96,24.28,213.6,80,9.61,4.3,2,1.16,1,"Incorrecto"
"no","no",0,137.8,120,23.43,225.8,110,19.19,145.2,95,6.53,10.2,6,2.75,1,"Incorrecto"
"no","no",0,173.9,111,29.56,287.4,105,24.43,204.8,91,9.22,9.1,7,2.46,1,"Correcto"
"no","yes",34,305.2,80,51.88,156.5,109,13.3,280,81,12.6,13.2,7,3.56,1,"Correcto"
"yes","no",0,150,106,25.5,293.8,123,24.97,250.7,65,11.28,10.3,7,2.78,3,"Correcto"
"no","yes",30,186.2,117,31.65,286.7,76,24.37,164.3,113,7.39,12.9,3,3.48,2,"Correcto"
"no","no",0,173.2,93,29.44,131.2,80,11.15,170.9,104,7.69,5.4,3,1.46,0,"Correcto"
"no","yes",21,262.9,135,44.69,149.5,96,12.71,140.5,109,6.32,8.1,4,2.19,1,"Correcto"
"no","yes",32,50.6,62,8.6,201.4,87,17.12,146.8,121,6.61,4.2,4,1.13,2,"Correcto"
"no","no",0,183.2,131,31.14,179.2,73,15.23,292.8,100,13.18,9.9,5,2.67,2,"Correcto"
"no","no",0,147.2,115,25.02,161.9,123,13.76,142.1,103,6.39,7.2,6,1.94,3,"Correcto"
"no","yes",42,137.3,95,23.34,184.2,94,15.66,231.4,70,10.41,10.2,3,2.75,0,"Correcto"
"no","no",0,135.2,101,22.98,152.5,79,12.96,224.8,83,10.12,8.4,5,2.27,2,"Correcto"
"no","no",0,113,108,19.21,169.2,107,14.38,156.6,61,7.05,9.2,5,2.48,2,"Incorrecto"
"no","no",0,294.2,100,50.01,232.5,53,19.76,195,64,8.78,9,1,2.43,0,"Incorrecto"
"no","no",0,259.4,116,44.1,269.7,109,22.92,175.3,130,7.89,9.5,3,2.57,1,"Incorrecto"
"no","yes",28,215.8,123,36.69,285.2,76,24.24,192.1,78,8.64,6.9,3,1.86,1,"Correcto"
"no","yes",21,153.2,112,26.04,263.3,110,22.38,135,85,6.08,11.9,7,3.21,1,"Correcto"
"no","no",0,129.5,56,22.02,354.2,118,30.11,145.5,93,6.55,10.9,3,2.94,1,"Correcto"
"no","no",0,236.6,91,40.22,220.9,146,18.78,146.8,114,6.61,8.9,2,2.4,1,"Correcto"
"no","no",0,260.4,107,44.27,208.2,104,17.7,207.9,115,9.36,10,2,2.7,6,"Correcto"
"no","no",0,113,80,19.21,150.1,87,12.76,204.3,115,9.19,10.8,4,2.92,2,"Correcto"
"no","no",0,136.2,114,23.15,165.1,118,14.03,137.9,71,6.21,9.6,5,2.59,0,"Correcto"
"no","yes",29,222.6,81,37.84,190.3,109,16.18,201.2,87,9.05,11.5,2,3.11,1,"Correcto"
"no","no",0,118.5,92,20.15,177.8,109,15.11,255.7,98,11.51,12.1,4,3.27,1,"Correcto"
"no","no",0,153.2,65,26.04,229.7,90,19.52,148.2,94,6.67,10.7,8,2.89,1,"Correcto"
"no","no",0,166.9,98,28.37,221.8,77,18.85,243.9,114,10.98,12.8,4,3.46,3,"Correcto"
"no","no",0,317.8,60,54.03,152.9,100,13,123.4,63,5.55,10.4,7,2.81,1,"Incorrecto"
"no","no",0,202.9,100,34.49,178.6,46,15.18,203.8,116,9.17,12.8,3,3.46,5,"Correcto"
"no","yes",30,173.1,107,29.43,247.2,101,21.01,158.7,104,7.14,11.5,5,3.11,1,"Correcto"
"no","no",0,224.2,89,38.11,314.9,121,26.77,182.9,121,8.23,16.1,3,4.35,1,"Incorrecto"
"no","no",0,189.3,100,32.18,239.3,107,20.34,89.7,89,4.04,9.9,3,2.67,3,"Correcto"
"no","yes",46,168.3,124,28.61,270.9,103,23.03,222.5,98,10.01,6.7,2,1.81,4,"Correcto"
"no","yes",37,155,98,26.35,142.4,105,12.1,143.7,117,6.47,5.9,4,1.59,1,"Correcto"
"no","yes",33,111.6,140,18.97,213.3,111,18.13,267.6,115,12.04,16,3,4.32,0,"Correcto"
"yes","yes",27,175.5,137,29.84,210.6,60,17.9,294.8,121,13.27,6.9,5,1.86,1,"Correcto"
"yes","yes",35,157.5,109,26.78,189.6,67,16.12,227,76,10.22,11.1,2,3,3,"Incorrecto"
"no","yes",16,144.8,105,24.62,206.2,111,17.53,255.4,117,11.49,11.6,2,3.13,4,"Correcto"
"no","no",0,258.8,85,44,129.5,114,11.01,193.6,106,8.71,10.9,7,2.94,2,"Correcto"
"no","yes",35,174.4,108,29.65,196.7,100,16.72,127.4,74,5.73,11.8,3,3.19,1,"Correcto"
"no","yes",24,274.7,99,46.7,193.5,118,16.45,299.6,109,13.48,10.8,3,2.92,3,"Correcto"
"no","no",0,210.7,112,35.82,238.7,73,20.29,253.6,90,11.41,9.2,5,2.48,3,"Correcto"
"yes","no",0,99.6,108,16.93,308.7,102,26.24,161.2,62,7.25,13.7,6,3.7,2,"Incorrecto"
"no","no",0,169.8,123,28.87,183.1,94,15.56,395,72,17.77,12.7,7,3.43,2,"Correcto"
"no","no",0,213.5,93,36.3,166.6,114,14.16,122,78,5.49,14.1,3,3.81,3,"Correcto"
"no","no",0,240.7,82,40.92,269.4,85,22.9,187.1,74,8.42,10.1,3,2.73,0,"Incorrecto"
"no","no",0,109.4,91,18.6,207.5,111,17.64,135,107,6.08,11.6,5,3.13,0,"Correcto"
"no","no",0,191.3,134,32.52,261.5,113,22.23,182.3,111,8.2,10,3,2.7,1,"Correcto"
"no","yes",24,183.6,138,31.21,203.8,90,17.32,166.9,89,7.51,6,3,1.62,2,"Correcto"
"no","no",0,169.3,111,28.78,139.5,69,11.86,197,87,8.87,12,3,3.24,0,"Correcto"
"no","no",0,214.4,94,36.45,138,149,11.73,148.7,102,6.69,9.9,1,2.67,2,"Correcto"
"yes","no",0,255.8,125,43.49,142.7,111,12.13,181.2,101,8.15,11.7,3,3.16,0,"Correcto"
"no","no",0,181.9,90,30.92,151.5,87,12.88,143,100,6.44,7.5,3,2.03,1,"Correcto"
"no","yes",9,160.1,116,27.22,210,121,17.85,139.1,65,6.26,10.8,9,2.92,0,"Correcto"
"no","no",0,198.5,124,33.75,266.6,100,22.66,243.3,80,10.95,8,7,2.16,2,"Correcto"
"no","no",0,204.5,108,34.77,162.4,110,13.8,155,102,6.98,13.4,1,3.62,3,"Correcto"
"no","no",0,274,92,46.58,231.8,82,19.7,283.6,83,12.76,6.2,1,1.67,0,"Incorrecto"
"no","no",0,137.8,97,23.43,187.7,118,15.95,146.4,85,6.59,8.7,6,2.35,1,"Correcto"
"no","no",0,179.4,94,30.5,270.4,92,22.98,191,88,8.59,7.9,4,2.13,0,"Correcto"
"no","yes",23,183.1,88,31.13,147.4,89,12.53,350.2,108,15.76,11.3,7,3.05,1,"Correcto"
"no","no",0,177.4,136,30.16,240.3,104,20.43,237.3,133,10.68,12,3,3.24,0,"Correcto"
"no","yes",34,247.2,105,42.02,225.5,133,19.17,186.3,76,8.38,6.1,5,1.65,2,"Incorrecto"
"no","no",0,186.8,89,31.76,253.4,51,21.54,273.1,105,12.29,12.3,6,3.32,2,"Correcto"
"no","no",0,222.5,74,37.83,169.7,75,14.42,264.3,94,11.89,9,3,2.43,2,"Correcto"
"no","yes",17,167.9,114,28.54,243.7,93,20.71,211.9,114,9.54,9.1,2,2.46,1,"Correcto"
"no","no",0,239.1,88,40.65,243.5,79,20.7,230.9,92,10.39,10.9,3,2.94,3,"Incorrecto"
"no","no",0,175.7,109,29.87,211.8,97,18,137.9,109,6.21,9.2,3,2.48,5,"Incorrecto"
"no","no",0,87.7,74,14.91,214.8,58,18.26,201.3,147,9.06,10.8,6,2.92,1,"Correcto"
"no","yes",27,165,89,28.05,127.3,118,10.82,284.4,95,12.8,7.7,4,2.08,2,"Correcto"
"no","no",0,194.8,106,33.12,292.7,103,24.88,224.6,82,10.11,5.5,3,1.49,0,"Correcto"
"no","no",0,90.5,142,15.39,211.7,75,17.99,194.9,76,8.77,9.3,2,2.51,1,"Correcto"
"no","no",0,235.6,132,40.05,115.9,129,9.85,185.4,136,8.34,16.2,2,4.37,0,"Correcto"
"no","no",0,142.5,82,24.23,231.4,110,19.67,131.2,67,5.9,10,4,2.7,2,"Correcto"
"yes","yes",28,175.8,126,29.89,253.6,76,21.56,128.5,72,5.78,11.4,5,3.08,1,"Correcto"
"no","no",0,189.5,122,32.22,103.8,95,8.82,180.6,106,8.13,10.8,5,2.92,2,"Correcto"
"no","no",0,61.3,91,10.42,194.4,94,16.52,143.1,80,6.44,11.4,9,3.08,1,"Correcto"
"no","yes",27,154.1,122,26.2,195.3,150,16.6,276.7,86,12.45,13.2,2,3.56,4,"Correcto"
"no","no",0,324.7,48,55.2,236.4,82,20.09,187.6,78,8.44,13.1,5,3.54,0,"Incorrecto"
"yes","no",0,125.5,106,21.34,128.9,96,10.96,251.9,129,11.34,6.3,6,1.7,4,"Incorrecto"
"no","yes",26,257.2,108,43.72,224.3,122,19.07,204,118,9.18,12.6,4,3.4,1,"Correcto"
"no","no",0,124.6,90,21.18,146.4,70,12.44,169.4,95,7.62,10.5,6,2.84,1,"Correcto"
"no","yes",20,211.9,110,36.02,215.1,120,18.28,238.5,107,10.73,9.4,2,2.54,0,"Correcto"
"yes","no",0,237.7,98,40.41,207.1,121,17.6,182.2,95,8.2,4.5,4,1.22,0,"Correcto"
"no","no",0,237.7,122,40.41,181.5,91,15.43,185.7,151,8.36,7.7,4,2.08,1,"Correcto"
"no","yes",21,147,112,24.99,197.3,43,16.77,267.4,93,12.03,8.7,3,2.35,2,"Correcto"
"no","no",0,216.8,77,36.86,207.3,117,17.62,228.6,117,10.29,5.6,2,1.51,1,"Correcto"
"no","no",0,228.9,102,38.91,160.7,136,13.66,203.1,109,9.14,12.5,2,3.38,0,"Correcto"
"no","no",0,237.3,83,40.34,154,65,13.09,237,105,10.67,11.2,6,3.02,1,"Correcto"
"no","no",0,212.3,89,36.09,215.4,127,18.31,186.8,73,8.41,11.3,2,3.05,2,"Correcto"
"no","yes",20,146.1,98,24.84,277.4,104,23.58,137.7,100,6.2,6.2,3,1.67,1,"Correcto"
"no","no",0,190.9,44,32.45,161.4,109,13.72,231.9,100,10.44,8.4,2,2.27,1,"Correcto"
"no","no",0,90.7,90,15.42,207.5,109,17.64,169.4,96,7.62,5.6,5,1.51,2,"Correcto"
"no","no",0,175.7,78,29.87,184.6,96,15.69,156.9,92,7.06,9.1,2,2.46,2,"Correcto"
"no","no",0,139.6,92,23.73,250.2,115,21.27,158.1,79,7.11,10.8,4,2.92,1,"Correcto"
"no","no",0,157.9,103,26.84,259.6,90,22.07,230,117,10.35,14,2,3.78,0,"Correcto"
"yes","no",0,250.8,146,42.64,152.5,105,12.96,148.1,104,6.66,10,5,2.7,2,"Correcto"
"no","no",0,81.6,94,13.87,268.1,112,22.79,140.8,75,6.34,8.6,18,2.32,1,"Correcto"
"no","yes",20,207.7,91,35.31,199.7,113,16.97,216.5,110,9.74,7.3,1,1.97,1,"Correcto"
"no","no",0,180.2,134,30.63,97.7,85,8.3,181.7,134,8.18,8.4,3,2.27,1,"Correcto"
"no","no",0,195.1,100,33.17,148.8,95,12.65,224.5,117,10.1,6.7,2,1.81,0,"Correcto"
"no","no",0,153.3,106,26.06,224.5,117,19.08,273.4,152,12.3,8.9,5,2.4,2,"Correcto"
"no","no",0,214,117,36.38,192.4,89,16.35,242.6,99,10.92,7.9,4,2.13,1,"Correcto"
"no","yes",24,128.1,104,21.78,143.4,127,12.19,191,98,8.59,11.6,3,3.13,1,"Correcto"
"no","yes",34,44.9,63,7.63,134.2,82,11.41,168.4,118,7.58,13.3,3,3.59,1,"Correcto"
"no","no",0,119,82,20.23,187.5,108,15.94,189.3,97,8.52,11.5,3,3.11,1,"Correcto"
"no","no",0,134.4,104,22.85,152.4,95,12.95,236.5,80,10.64,9.4,3,2.54,1,"Correcto"
"no","yes",39,239.9,107,40.78,253.8,77,21.57,128.7,85,5.79,6.7,3,1.81,5,"Correcto"
"no","no",0,196.1,89,33.34,185.5,87,15.77,250,132,11.25,5.2,6,1.4,2,"Correcto"
"no","no",0,156.5,102,26.61,140.2,134,11.92,227.4,111,10.23,12.2,2,3.29,2,"Correcto"
"no","no",0,266.7,105,45.34,158.2,88,13.45,287.7,111,12.95,13.8,3,3.73,3,"Incorrecto"
"no","yes",33,146.6,87,24.92,114.8,59,9.76,220.4,99,9.92,2.9,7,0.78,0,"Correcto"
"no","yes",28,110,94,18.7,141.5,76,12.03,237.3,87,10.68,6.4,3,1.73,2,"Correcto"
"no","no",0,152.8,145,25.98,183.6,102,15.61,151.8,75,6.83,10.5,2,2.84,1,"Correcto"
"no","no",0,93.3,83,15.86,199.6,114,16.97,206.2,104,9.28,6.5,4,1.76,0,"Correcto"
"no","no",0,172.8,81,29.38,193.4,90,16.44,89.6,107,4.03,12.8,5,3.46,2,"Correcto"
"no","no",0,130.6,83,22.2,208.1,144,17.69,204.6,72,9.21,15.6,3,4.21,3,"Correcto"
"no","no",0,158.4,92,26.93,188,117,15.98,219.7,125,9.89,13.5,4,3.65,4,"Incorrecto"
"no","no",0,166.5,111,28.31,236.2,98,20.08,205.6,92,9.25,15.6,2,4.21,1,"Correcto"
"no","no",0,175.4,80,29.82,197.4,127,16.78,188.2,102,8.47,9.7,2,2.62,2,"Correcto"
"no","yes",31,222.8,98,37.88,180.5,105,15.34,151.3,101,6.81,13,4,3.51,0,"Correcto"
"no","no",0,100,98,17,173.5,95,14.75,218,122,9.81,10.1,4,2.73,0,"Correcto"
"no","yes",38,193,106,32.81,153.6,106,13.06,260.4,87,11.72,7.4,5,2,2,"Correcto"
"no","yes",40,105.2,61,17.88,341.3,79,29.01,165.7,97,7.46,6.3,3,1.7,2,"Correcto"
"no","no",0,179.5,121,30.52,191.9,131,16.31,165.5,125,7.45,12,4,3.24,0,"Correcto"
"no","no",0,187.6,83,31.89,201.4,81,17.12,264.2,79,11.89,8.8,1,2.38,1,"Correcto"
"no","yes",21,247.6,95,42.09,256.3,150,21.79,158.6,72,7.14,10.8,6,2.92,2,"Correcto"
"no","no",0,185,120,31.45,203.7,129,17.31,170.5,89,7.67,14.1,3,3.81,3,"Correcto"
"no","no",0,169.7,115,28.85,141.4,123,12.02,253,115,11.39,10.5,3,2.84,4,"Incorrecto"
"no","no",0,161.9,100,27.52,230.1,138,19.56,148.8,78,6.7,10.2,11,2.75,3,"Correcto"
"no","yes",25,170.7,88,29.02,109.9,113,9.34,165.7,99,7.46,8.7,1,2.35,3,"Correcto"
"no","no",0,131.9,96,22.42,167.6,107,14.25,205.9,106,9.27,14.7,5,3.97,3,"Correcto"
"no","no",0,147.2,121,25.02,175.2,87,14.89,136.3,80,6.13,13.3,3,3.59,2,"Correcto"
"no","yes",31,237.2,85,40.32,213.1,100,18.11,192.7,87,8.67,10.7,4,2.89,1,"Correcto"
"no","no",0,220.8,111,37.54,156.2,67,13.28,187.9,89,8.46,10.5,4,2.84,2,"Correcto"
"no","no",0,224,99,38.08,210.7,80,17.91,231.9,75,10.44,2.1,5,0.57,0,"Correcto"
"no","no",0,218.8,125,37.2,148.3,102,12.61,277.8,97,12.5,9.7,6,2.62,1,"Correcto"
"no","no",0,215.6,74,36.65,192.9,98,16.4,144,103,6.48,10.1,4,2.73,5,"Correcto"
"no","yes",39,211.9,40,36.02,274.4,76,23.32,210.5,139,9.47,5.4,4,1.46,1,"Correcto"
"yes","no",0,246.8,110,41.96,206.3,63,17.54,208.4,123,9.38,13.2,5,3.56,0,"Incorrecto"
"no","yes",32,131.2,63,22.3,227.4,125,19.33,178.9,105,8.05,12.8,2,3.46,2,"Correcto"
"yes","no",0,107.2,98,18.22,86.8,122,7.38,156.2,117,7.03,9.7,4,2.62,1,"Correcto"
"no","yes",32,211.9,120,36.02,202.9,136,17.25,213.5,95,9.61,8.8,5,2.38,1,"Correcto"
"no","no",0,294.7,90,50.1,294.6,72,25.04,260.1,121,11.7,10.8,3,2.92,1,"Incorrecto"
"no","yes",24,180.5,85,30.69,224.1,92,19.05,205.7,103,9.26,2.4,3,0.65,0,"Correcto"
"no","yes",35,139.6,72,23.73,332.8,170,28.29,213.8,105,9.62,8.8,2,2.38,2,"Correcto"
"no","yes",12,200.3,76,34.05,253.6,105,21.56,149.3,93,6.72,10.2,5,2.75,0,"Correcto"
"yes","yes",29,128.2,119,21.79,171.7,83,14.59,250.9,114,11.29,11.7,6,3.16,3,"Correcto"
"no","no",0,226.4,101,38.49,276.8,60,23.53,213.4,82,9.6,12.3,4,3.32,3,"Incorrecto"
"no","no",0,251.9,81,42.82,194.6,96,16.54,211.2,87,9.5,8.4,3,2.27,2,"Correcto"
"no","no",0,264.5,117,44.97,194,111,16.49,262.7,111,11.82,7.5,4,2.03,2,"Incorrecto"
"no","yes",27,196.6,89,33.42,180.6,95,15.35,245,83,11.03,6.6,5,1.78,1,"Correcto"
"no","yes",34,245,95,41.65,216.9,66,18.44,112.4,125,5.06,7.5,8,2.03,0,"Correcto"
"yes","no",0,140.8,140,23.94,228.6,119,19.43,152.9,88,6.88,10.9,7,2.94,1,"Correcto"
"no","no",0,255.1,93,43.37,266.9,97,22.69,197.7,118,8.9,8.8,3,2.38,3,"Incorrecto"
"yes","no",0,248.7,118,42.28,172.3,73,14.65,191.9,87,8.64,11.3,2,3.05,1,"Incorrecto"
"no","no",0,206.3,66,35.07,241.1,109,20.49,227.8,102,10.25,11.7,6,3.16,0,"Correcto"
"yes","no",0,286.2,61,48.65,187.2,60,15.91,146.2,114,6.58,11,4,2.97,2,"Incorrecto"
"no","no",0,234.2,76,39.81,216.7,108,18.42,130.6,122,5.88,13.9,2,3.75,1,"Correcto"
"no","yes",24,97.8,98,16.63,207.2,67,17.61,214.5,126,9.65,5.9,2,1.59,0,"Correcto"
"no","yes",27,128.5,115,21.85,163.7,91,13.91,242.9,121,10.93,0,0,0,1,"Correcto"
"no","no",0,238,97,40.46,164.5,97,13.98,282.5,132,12.71,10.6,6,2.86,2,"Correcto"
"no","yes",43,231,85,39.27,222.3,82,18.9,148,105,6.66,8.3,5,2.24,2,"Correcto"
"yes","yes",22,172.1,119,29.26,223.6,133,19.01,150,94,6.75,13.9,20,3.75,1,"Incorrecto"
"no","no",0,160,133,27.2,215.3,98,18.3,188.9,87,8.5,9.1,4,2.46,0,"Correcto"
"no","no",0,203.8,77,34.65,205.1,111,17.43,154.9,109,6.97,9,2,2.43,1,"Correcto"
"no","no",0,187.8,95,31.93,149.2,143,12.68,201.4,113,9.06,11,4,2.97,2,"Correcto"
"no","yes",26,137.1,88,23.31,155.7,125,13.23,247.6,94,11.14,11.5,7,3.11,2,"Correcto"
"yes","no",0,186.1,114,31.64,198.6,140,16.88,206.5,80,9.29,13.8,5,3.73,4,"Incorrecto"
"no","no",0,102.8,128,17.48,143.7,95,12.21,191.4,97,8.61,10,5,2.7,1,"Correcto"
"yes","no",0,197.2,90,33.52,188.5,113,16.02,211.1,94,9.5,7.8,8,2.11,1,"Correcto"
